股票代码,股票名称,最终净值,总收益率(%),最大回撤(%),夏普比率,交易次数,胜率(%),风险事件
sz.300007,汉威科技,35344.83928961001,76.72419644805007,24.768519344096678,1.7221008351112939,11,28.837209302325583,268
sz.301413,安培龙,25215.902847570003,26.079514237850017,19.930169330754048,1.1332006830897237,2,30.697674418604652,312
sz.000777,中核科技,27605.0163099,38.02508154949999,8.281337962700128,2.1306040923990435,6,11.538461538461538,283
sh.600105,永鼎股份,62567.41344683001,212.83706723415006,29.496161614090937,2.441323315187936,10,48.372093023255815,289
sz.003021,兆威机电,25423.90233372,27.119511668600005,7.434489413503314,1.6270276380136004,5,30.23255813953488,280
sh.603278,大业股份,24855.158223910003,24.275791119550014,7.547511892753793,1.4712672200369201,9,8.372093023255815,281
sh.600118,中国卫星,30469.83774662,52.34918873310001,14.96031233041446,1.7341166763148386,7,46.97674418604651,253
