排名,股票代码,股票名称,收益率(%),夏普比率,最大回撤(%),交易次数,胜率(%),综合评分,类别,波动性
1,unknown,sh.688102.斯瑞新材.csv,41.96676594875005,1.487163271402988,19.153465736212073,19,32.1608040201005,0.5671335364465995,未知,中
2,unknown,sh.603267.鸿远电子.csv,28.774012165600016,2.107326401586178,5.900249629221248,8,11.557788944723619,0.5498004144673245,未知,中
3,unknown,sz.002025.航天电器.csv,21.304178833650003,1.7782101512024628,7.312102049571453,9,13.5678391959799,0.501114438260455,未知,中
4,unknown,sz.000932.华菱线缆.csv,21.40197739985002,1.706696510537038,2.9901075271964688,23,29.145728643216078,0.4974191387729451,未知,中
5,unknown,sz.000768.中航西飞.csv,12.83796352555004,1.5557114252287525,3.8986826798247187,11,13.06532663316583,0.45453536411527173,未知,中
