code,name,start_date,category,volatility,style,priority
sz.000408,藏格矿业,1996-06-28,有色金属,中,平衡,核心
sz.000893,亚钾国际,1999-01-19,基础化工,中,平衡,核心
sz.000933,神火股份,1999-08-31,有色金属,中,平衡,核心
sz.000807,云铝股份,1998-04-08,有色金属,中,平衡,核心
sz.000603,盛达资源,1996-08-23,有色金属,中,平衡,核心
sh.600497,驰宏锌锗,2004-04-20,有色金属,中,平衡,核心
sh.600219,南山铝业,1999-12-23,有色金属,中,平衡,核心
sh.600118,中国卫星,1997-09-08,航天军工,中,平衡,核心
sh.600879,航天电子,1995-11-15,航天军工,中,平衡,核心
sh.600577,精达股份,2002-09-11,机械设备,中,平衡,核心
