日期,时间戳,股票代码,股票名称,操作类型,动作,价格,数量,金额,手续费,操作前持仓,操作前资金,操作后持仓,操作后资金,总资产,步骤,备注
2025-03-14,2025-03-14 00:00:00,sz.002706,良信股份,买入,买入25%,7.82,1100,8599.59,5.09,6600,18210.30,7700,9605.62,69742.62,45,
2025-03-17,2025-03-17 00:00:00,sz.002706,良信股份,买入,买入25%,7.66,600,4594.59,5.05,7700,9605.62,8300,5005.99,68500.99,46,
2025-03-18,2025-03-18 00:00:00,sz.002706,良信股份,买入,买入25%,7.50,300,2249.25,5.02,8300,5005.99,8600,2751.72,67165.72,47,
2025-03-19,2025-03-19 00:00:00,sz.002706,良信股份,买入,买入25%,7.52,100,751.75,5.01,8600,2751.72,8700,1994.96,67331.96,48,
2025-03-20,2025-03-20 00:00:00,sz.002706,良信股份,买入,买入25%,8.01,100,800.80,5.01,8700,1994.96,8800,1189.15,71589.15,49,
2025-03-21,2025-03-21 00:00:00,sz.002706,良信股份,决策,买入25%,9.42,0,0.00,0.00,8800,1189.15,8800,1189.15,70709.15,51,未执行（可能资金不足或持仓不足）
2025-03-24,2025-03-24 00:00:00,sz.002706,良信股份,决策,买入25%,9.30,0,0.00,0.00,8800,1189.15,8800,1189.15,70269.15,52,未执行（可能资金不足或持仓不足）
2025-04-08,2025-04-08 00:00:00,sz.002706,良信股份,卖出,买入100%,8.74,2200,19230.75,14.81,8800,1189.15,6600,20405.09,78155.09,61,
2025-04-09,2025-04-09 00:00:00,sz.002706,良信股份,卖出,卖出100%,8.78,6600,57955.99,44.05,6600,20405.09,0,78317.03,78317.03,62,
2025-04-10,2025-04-10 00:00:00,sz.002706,良信股份,决策,卖出100%,7.72,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,64,未执行（可能资金不足或持仓不足）
2025-04-11,2025-04-11 00:00:00,sz.002706,良信股份,决策,卖出50%,7.84,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,65,未执行（可能资金不足或持仓不足）
2025-04-14,2025-04-14 00:00:00,sz.002706,良信股份,决策,卖出50%,7.81,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,66,未执行（可能资金不足或持仓不足）
2025-04-15,2025-04-15 00:00:00,sz.002706,良信股份,决策,卖出50%,7.65,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,67,未执行（可能资金不足或持仓不足）
2025-04-16,2025-04-16 00:00:00,sz.002706,良信股份,决策,卖出50%,7.49,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,68,未执行（可能资金不足或持仓不足）
2025-04-17,2025-04-17 00:00:00,sz.002706,良信股份,决策,卖出50%,7.51,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,69,未执行（可能资金不足或持仓不足）
2025-04-18,2025-04-18 00:00:00,sz.002706,良信股份,决策,卖出50%,8.00,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,70,未执行（可能资金不足或持仓不足）
2025-04-21,2025-04-21 00:00:00,sz.002706,良信股份,决策,卖出50%,7.90,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,71,未执行（可能资金不足或持仓不足）
2025-04-22,2025-04-22 00:00:00,sz.002706,良信股份,决策,卖出50%,7.85,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,72,未执行（可能资金不足或持仓不足）
2025-04-23,2025-04-23 00:00:00,sz.002706,良信股份,决策,卖出50%,8.06,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,73,未执行（可能资金不足或持仓不足）
2025-04-24,2025-04-24 00:00:00,sz.002706,良信股份,决策,卖出50%,7.99,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,74,未执行（可能资金不足或持仓不足）
2025-04-25,2025-04-25 00:00:00,sz.002706,良信股份,决策,卖出50%,8.14,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,75,未执行（可能资金不足或持仓不足）
2025-04-28,2025-04-28 00:00:00,sz.002706,良信股份,决策,卖出50%,8.05,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,76,未执行（可能资金不足或持仓不足）
2025-04-29,2025-04-29 00:00:00,sz.002706,良信股份,决策,卖出50%,8.25,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,77,未执行（可能资金不足或持仓不足）
2025-04-30,2025-04-30 00:00:00,sz.002706,良信股份,决策,卖出50%,8.36,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,78,未执行（可能资金不足或持仓不足）
2025-05-06,2025-05-06 00:00:00,sz.002706,良信股份,决策,卖出50%,8.46,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,79,未执行（可能资金不足或持仓不足）
2025-05-07,2025-05-07 00:00:00,sz.002706,良信股份,决策,卖出50%,8.56,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,80,未执行（可能资金不足或持仓不足）
2025-05-08,2025-05-08 00:00:00,sz.002706,良信股份,决策,卖出50%,8.71,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,81,未执行（可能资金不足或持仓不足）
2025-05-09,2025-05-09 00:00:00,sz.002706,良信股份,决策,卖出100%,8.75,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,82,未执行（可能资金不足或持仓不足）
2025-05-12,2025-05-12 00:00:00,sz.002706,良信股份,决策,卖出50%,8.79,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,83,未执行（可能资金不足或持仓不足）
2025-05-13,2025-05-13 00:00:00,sz.002706,良信股份,决策,卖出50%,8.59,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,84,未执行（可能资金不足或持仓不足）
2025-05-14,2025-05-14 00:00:00,sz.002706,良信股份,决策,卖出50%,8.48,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,85,未执行（可能资金不足或持仓不足）
2025-05-15,2025-05-15 00:00:00,sz.002706,良信股份,决策,卖出50%,8.48,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,86,未执行（可能资金不足或持仓不足）
2025-05-16,2025-05-16 00:00:00,sz.002706,良信股份,决策,卖出50%,8.50,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,87,未执行（可能资金不足或持仓不足）
2025-05-19,2025-05-19 00:00:00,sz.002706,良信股份,决策,卖出50%,8.50,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,88,未执行（可能资金不足或持仓不足）
2025-05-20,2025-05-20 00:00:00,sz.002706,良信股份,决策,卖出50%,8.88,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,89,未执行（可能资金不足或持仓不足）
2025-05-21,2025-05-21 00:00:00,sz.002706,良信股份,决策,卖出50%,8.85,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,90,未执行（可能资金不足或持仓不足）
2025-05-22,2025-05-22 00:00:00,sz.002706,良信股份,决策,卖出50%,8.87,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,91,未执行（可能资金不足或持仓不足）
2025-05-23,2025-05-23 00:00:00,sz.002706,良信股份,决策,卖出50%,8.75,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,92,未执行（可能资金不足或持仓不足）
2025-05-26,2025-05-26 00:00:00,sz.002706,良信股份,决策,卖出50%,8.72,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,93,未执行（可能资金不足或持仓不足）
2025-05-27,2025-05-27 00:00:00,sz.002706,良信股份,决策,卖出50%,8.63,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,94,未执行（可能资金不足或持仓不足）
2025-05-28,2025-05-28 00:00:00,sz.002706,良信股份,决策,卖出50%,8.58,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,95,未执行（可能资金不足或持仓不足）
2025-05-29,2025-05-29 00:00:00,sz.002706,良信股份,决策,卖出100%,8.61,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,96,未执行（可能资金不足或持仓不足）
2025-05-30,2025-05-30 00:00:00,sz.002706,良信股份,决策,卖出50%,8.36,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,97,未执行（可能资金不足或持仓不足）
2025-06-03,2025-06-03 00:00:00,sz.002706,良信股份,决策,卖出50%,8.33,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,98,未执行（可能资金不足或持仓不足）
2025-06-04,2025-06-04 00:00:00,sz.002706,良信股份,决策,卖出50%,8.37,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,99,未执行（可能资金不足或持仓不足）
2025-06-05,2025-06-05 00:00:00,sz.002706,良信股份,决策,卖出50%,8.55,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,100,未执行（可能资金不足或持仓不足）
2025-06-06,2025-06-06 00:00:00,sz.002706,良信股份,决策,卖出50%,8.55,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,101,未执行（可能资金不足或持仓不足）
2025-06-09,2025-06-09 00:00:00,sz.002706,良信股份,决策,卖出50%,8.62,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,102,未执行（可能资金不足或持仓不足）
2025-06-10,2025-06-10 00:00:00,sz.002706,良信股份,决策,卖出50%,8.43,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,103,未执行（可能资金不足或持仓不足）
2025-06-11,2025-06-11 00:00:00,sz.002706,良信股份,决策,卖出50%,8.46,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,104,未执行（可能资金不足或持仓不足）
2025-06-12,2025-06-12 00:00:00,sz.002706,良信股份,决策,卖出50%,8.46,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,105,未执行（可能资金不足或持仓不足）
2025-06-13,2025-06-13 00:00:00,sz.002706,良信股份,决策,卖出50%,8.34,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,106,未执行（可能资金不足或持仓不足）
2025-06-16,2025-06-16 00:00:00,sz.002706,良信股份,决策,卖出50%,8.62,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,107,未执行（可能资金不足或持仓不足）
2025-06-17,2025-06-17 00:00:00,sz.002706,良信股份,决策,卖出50%,8.67,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,108,未执行（可能资金不足或持仓不足）
2025-06-18,2025-06-18 00:00:00,sz.002706,良信股份,决策,卖出50%,8.52,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,109,未执行（可能资金不足或持仓不足）
2025-06-19,2025-06-19 00:00:00,sz.002706,良信股份,决策,卖出50%,8.50,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,110,未执行（可能资金不足或持仓不足）
2025-06-20,2025-06-20 00:00:00,sz.002706,良信股份,决策,卖出50%,8.60,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,111,未执行（可能资金不足或持仓不足）
2025-06-23,2025-06-23 00:00:00,sz.002706,良信股份,决策,卖出50%,8.50,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,112,未执行（可能资金不足或持仓不足）
2025-06-24,2025-06-24 00:00:00,sz.002706,良信股份,决策,卖出50%,9.00,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,113,未执行（可能资金不足或持仓不足）
2025-06-25,2025-06-25 00:00:00,sz.002706,良信股份,决策,卖出50%,9.08,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,114,未执行（可能资金不足或持仓不足）
2025-06-26,2025-06-26 00:00:00,sz.002706,良信股份,决策,卖出50%,9.09,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,115,未执行（可能资金不足或持仓不足）
2025-06-27,2025-06-27 00:00:00,sz.002706,良信股份,决策,卖出50%,9.06,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,116,未执行（可能资金不足或持仓不足）
2025-06-30,2025-06-30 00:00:00,sz.002706,良信股份,决策,卖出50%,8.91,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,117,未执行（可能资金不足或持仓不足）
2025-07-01,2025-07-01 00:00:00,sz.002706,良信股份,决策,卖出50%,9.21,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,118,未执行（可能资金不足或持仓不足）
2025-07-02,2025-07-02 00:00:00,sz.002706,良信股份,决策,卖出50%,9.00,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,119,未执行（可能资金不足或持仓不足）
2025-07-03,2025-07-03 00:00:00,sz.002706,良信股份,决策,卖出50%,9.00,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,120,未执行（可能资金不足或持仓不足）
2025-07-04,2025-07-04 00:00:00,sz.002706,良信股份,决策,卖出50%,8.90,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,121,未执行（可能资金不足或持仓不足）
2025-07-07,2025-07-07 00:00:00,sz.002706,良信股份,决策,卖出50%,9.05,0,0.00,0.00,0,78317.03,0,78317.03,78317.03,122,未执行（可能资金不足或持仓不足）
2025-07-08,2025-07-08 00:00:00,sz.002706,良信股份,买入,买入50%,10.04,7000,70280.21,18.27,0,78317.03,7000,8018.55,78228.55,122,
2025-07-09,2025-07-09 00:00:00,sz.002706,良信股份,决策,买入50%,9.11,0,0.00,0.00,7000,8018.55,7000,8018.55,77738.55,124,未执行（可能资金不足或持仓不足）
2025-07-10,2025-07-10 00:00:00,sz.002706,良信股份,买入,买入25%,10.15,300,3045.04,5.03,7000,8018.55,7300,4968.48,78990.48,124,
2025-07-11,2025-07-11 00:00:00,sz.002706,良信股份,卖出,卖出100%,11.14,7300,81313.60,61.80,7300,4968.48,0,86220.28,86220.28,125,
2025-07-14,2025-07-14 00:00:00,sz.002706,良信股份,决策,卖出100%,9.14,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,127,未执行（可能资金不足或持仓不足）
2025-07-15,2025-07-15 00:00:00,sz.002706,良信股份,决策,卖出100%,9.25,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,128,未执行（可能资金不足或持仓不足）
2025-07-16,2025-07-16 00:00:00,sz.002706,良信股份,决策,卖出100%,9.18,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,129,未执行（可能资金不足或持仓不足）
2025-07-17,2025-07-17 00:00:00,sz.002706,良信股份,决策,卖出100%,9.28,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,130,未执行（可能资金不足或持仓不足）
2025-07-18,2025-07-18 00:00:00,sz.002706,良信股份,决策,卖出100%,9.07,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,131,未执行（可能资金不足或持仓不足）
2025-07-21,2025-07-21 00:00:00,sz.002706,良信股份,决策,卖出100%,9.06,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,132,未执行（可能资金不足或持仓不足）
2025-07-22,2025-07-22 00:00:00,sz.002706,良信股份,决策,卖出100%,9.16,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,133,未执行（可能资金不足或持仓不足）
2025-07-23,2025-07-23 00:00:00,sz.002706,良信股份,决策,卖出100%,9.05,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,134,未执行（可能资金不足或持仓不足）
2025-07-24,2025-07-24 00:00:00,sz.002706,良信股份,决策,卖出100%,9.13,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,135,未执行（可能资金不足或持仓不足）
2025-07-25,2025-07-25 00:00:00,sz.002706,良信股份,决策,卖出100%,8.98,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,136,未执行（可能资金不足或持仓不足）
2025-07-28,2025-07-28 00:00:00,sz.002706,良信股份,决策,卖出100%,8.85,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,137,未执行（可能资金不足或持仓不足）
2025-07-29,2025-07-29 00:00:00,sz.002706,良信股份,决策,卖出100%,8.82,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,138,未执行（可能资金不足或持仓不足）
2025-07-30,2025-07-30 00:00:00,sz.002706,良信股份,决策,卖出100%,8.76,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,139,未执行（可能资金不足或持仓不足）
2025-07-31,2025-07-31 00:00:00,sz.002706,良信股份,决策,卖出100%,9.64,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,140,未执行（可能资金不足或持仓不足）
2025-08-01,2025-08-01 00:00:00,sz.002706,良信股份,决策,卖出100%,9.15,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,141,未执行（可能资金不足或持仓不足）
2025-08-04,2025-08-04 00:00:00,sz.002706,良信股份,决策,卖出50%,9.12,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,142,未执行（可能资金不足或持仓不足）
2025-08-05,2025-08-05 00:00:00,sz.002706,良信股份,决策,卖出50%,10.03,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,143,未执行（可能资金不足或持仓不足）
2025-08-06,2025-08-06 00:00:00,sz.002706,良信股份,决策,卖出50%,9.96,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,144,未执行（可能资金不足或持仓不足）
2025-08-07,2025-08-07 00:00:00,sz.002706,良信股份,决策,卖出50%,10.14,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,145,未执行（可能资金不足或持仓不足）
2025-08-08,2025-08-08 00:00:00,sz.002706,良信股份,决策,卖出50%,11.15,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,146,未执行（可能资金不足或持仓不足）
2025-08-11,2025-08-11 00:00:00,sz.002706,良信股份,决策,卖出100%,11.32,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,147,未执行（可能资金不足或持仓不足）
2025-08-12,2025-08-12 00:00:00,sz.002706,良信股份,决策,卖出50%,10.80,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,148,未执行（可能资金不足或持仓不足）
2025-08-13,2025-08-13 00:00:00,sz.002706,良信股份,决策,卖出100%,10.80,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,149,未执行（可能资金不足或持仓不足）
2025-08-14,2025-08-14 00:00:00,sz.002706,良信股份,决策,卖出100%,10.51,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,150,未执行（可能资金不足或持仓不足）
2025-08-15,2025-08-15 00:00:00,sz.002706,良信股份,决策,卖出50%,10.90,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,151,未执行（可能资金不足或持仓不足）
2025-08-18,2025-08-18 00:00:00,sz.002706,良信股份,决策,卖出50%,11.32,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,152,未执行（可能资金不足或持仓不足）
2025-08-19,2025-08-19 00:00:00,sz.002706,良信股份,决策,卖出100%,11.80,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,153,未执行（可能资金不足或持仓不足）
2025-08-20,2025-08-20 00:00:00,sz.002706,良信股份,决策,卖出100%,11.48,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,154,未执行（可能资金不足或持仓不足）
2025-08-21,2025-08-21 00:00:00,sz.002706,良信股份,决策,卖出100%,11.15,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,155,未执行（可能资金不足或持仓不足）
2025-08-22,2025-08-22 00:00:00,sz.002706,良信股份,决策,卖出100%,11.32,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,156,未执行（可能资金不足或持仓不足）
2025-08-25,2025-08-25 00:00:00,sz.002706,良信股份,决策,卖出100%,12.45,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,157,未执行（可能资金不足或持仓不足）
2025-08-26,2025-08-26 00:00:00,sz.002706,良信股份,决策,卖出50%,12.33,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,158,未执行（可能资金不足或持仓不足）
2025-08-27,2025-08-27 00:00:00,sz.002706,良信股份,决策,卖出50%,11.56,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,159,未执行（可能资金不足或持仓不足）
2025-08-28,2025-08-28 00:00:00,sz.002706,良信股份,决策,卖出100%,11.81,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,160,未执行（可能资金不足或持仓不足）
2025-08-29,2025-08-29 00:00:00,sz.002706,良信股份,决策,卖出100%,11.52,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,161,未执行（可能资金不足或持仓不足）
2025-09-01,2025-09-01 00:00:00,sz.002706,良信股份,决策,卖出50%,11.43,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,162,未执行（可能资金不足或持仓不足）
2025-09-02,2025-09-02 00:00:00,sz.002706,良信股份,决策,卖出50%,10.85,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,163,未执行（可能资金不足或持仓不足）
2025-09-03,2025-09-03 00:00:00,sz.002706,良信股份,决策,卖出50%,11.15,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,164,未执行（可能资金不足或持仓不足）
2025-09-04,2025-09-04 00:00:00,sz.002706,良信股份,决策,卖出50%,10.71,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,165,未执行（可能资金不足或持仓不足）
2025-09-05,2025-09-05 00:00:00,sz.002706,良信股份,决策,卖出50%,11.18,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,166,未执行（可能资金不足或持仓不足）
2025-09-08,2025-09-08 00:00:00,sz.002706,良信股份,决策,卖出50%,11.45,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,167,未执行（可能资金不足或持仓不足）
2025-09-09,2025-09-09 00:00:00,sz.002706,良信股份,决策,卖出100%,11.07,0,0.00,0.00,0,86220.28,0,86220.28,86220.28,168,未执行（可能资金不足或持仓不足）
