timestamp,price,volume,prediction,MA5,MA10,MA20,RSI
2025-12-28T17:09:43.849106,3963.6789,55548959200.0,3908.6111108689674,3940.31788,3903.1417699999997,3899.8247300000003,40.595730394413486
2025-12-28T17:11:51.105842,10.46,1222600.0,10.421493404507638,10.42,10.395000000000001,10.409500000000001,44.00000000000017
2025-12-28T17:16:48.158547,72.89,88400.0,74.40897596120834,72.868,72.60299999999998,72.535,49.586776859504205
2025-12-28T17:21:53.385337,35.77,171821.0,35.978570148944854,35.772000000000006,35.731,35.829499999999996,50.00000000000063
2025-12-28T17:27:05.077926,28.24,1627200.0,28.296333139538763,28.203999999999997,28.169,28.176499999999997,24.170616113744003
2025-12-28T17:32:22.471753,58.4,1750200.0,58.44748206555843,58.416,58.44799999999999,58.543500000000016,46.39175257732004
2025-12-28T17:36:36.846697,181.08,1665900.0,182.1126185441017,181.114,180.908,181.02249999999998,44.307692307692314
2025-12-28T17:42:03.905311,30.66,770300.0,30.955539575219156,30.608000000000004,30.602000000000004,30.7015,38.29787234042538
2025-12-28T17:46:30.815002,52.35,107600.0,52.34452701568603,52.35200000000001,52.302,52.398,57.01357466063338
2025-12-28T17:52:21.653192,55.92,528800.0,56.173267974853516,55.888,55.840999999999994,55.938,40.74074074074077
2025-12-28T17:58:14.186010,87.97,565100.0,88.36314093828202,87.93599999999999,87.821,87.79150000000001,34.24657534246569
2025-12-28T18:00:29.227580,204.474,735910.0,204.9048235695958,204.86800000000002,198.2665,189.83530000000002,45.94152123375132
2025-12-28T18:03:38.456180,29.92,400300.0,30.114933681488036,29.922000000000004,29.914000000000005,29.968,45.22968197879924
2025-12-28T18:06:38.854810,56.41,174200.0,56.62834632396698,56.36,56.226,56.2995,45.434298440979845
2025-12-28T18:10:03.134244,39.09,2858700.0,39.28807125329971,39.094,38.955,39.08050000000001,40.08350730688932
2025-12-28T18:13:26.263035,49.16,729500.0,49.23696599543095,49.064,48.99899999999999,49.1255,33.28981723237577
2025-12-28T18:16:52.779065,110.59,1756200.0,110.8652195161581,110.162,110.08,110.27150000000002,50.6393861892584
2025-12-28T18:20:52.203596,53.91,806200.0,54.21113683402538,53.824,53.839,53.9575,48.79171461449926
2025-12-28T18:24:27.421452,26.92,1342400.0,26.92746829211712,26.869999999999997,26.839,26.902000000000005,50.0
2025-12-28T18:28:11.211595,19.02,4386600.0,19.050391054153444,19.014000000000003,18.993000000000002,19.017999999999997,30.232558139534845
